,data_entrada,marca,modelo,ano,km,valor_fipe,valor_venda,valor_compra,renavam
153,15/07/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.870 km
 ","R$ 66.069,00","R$ 45.201,00",R$ 52.490,5558859368.0
154,05/05/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.309 km
 ","R$ 70.580,00","R$ 53.537,00",R$ 52.490,97113697504.0
155,05/09/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.073 km
 ","R$ 73.349,00","R$ 55.706,00",R$ 52.490,3678151763.0
156,09/07/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.230 km
 ","R$ 73.416,00","R$ 56.377,00",R$ 52.490,58709088701.0
157,22/07/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","48.817 km
 ","R$ 72.037,00","R$ 45.215,00",R$ 52.490,32055146199.0
158,05/02/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.230 km
 ","R$ 69.282,00","R$ 61.739,00",R$ 52.490,71221885737.0
159,20/12/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","48.817 km
 ","R$ 72.834,00","R$ 46.354,00",R$ 52.490,57838663496.0
160,16/01/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","48.817 km
 ","R$ 67.580,00","R$ 52.806,00",R$ 52.490,48926827227.0
161,22/03/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","46.209 km
 ","R$ 74.259,00","R$ 64.428,00",R$ 52.490,64748064979.0
162,20/04/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","46.209 km
 ","R$ 66.691,00","R$ 61.980,00",R$ 52.490,85967993455.0
163,11/01/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","67.369 km
 ","R$ 67.958,00","R$ 63.394,00",R$ 52.490,86578708400.0
164,12/08/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","43.000 km
 ","R$ 72.461,00","R$ 51.338,00",R$ 52.490,84947247461.0
165,19/05/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","46.209 km
 ","R$ 73.295,00","R$ 56.699,00",R$ 52.490,94453638114.0
166,01/07/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","67.369 km
 ","R$ 67.419,00","R$ 54.627,00",R$ 52.490,68894682619.0
167,15/09/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","46.209 km
 ","R$ 72.551,00","R$ 64.144,00",R$ 52.490,50389197377.0
168,02/04/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.073 km
 ","R$ 68.367,00","R$ 57.954,00",R$ 52.490,98274315399.0
169,15/05/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","43.000 km
 ","R$ 68.348,00","R$ 55.038,00",R$ 52.490,2479184151.0
170,19/11/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","52.762 km
 ","R$ 69.752,00","R$ 46.495,00",R$ 52.490,23655035206.0
171,04/05/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","52.762 km
 ","R$ 68.126,00","R$ 57.733,00",R$ 52.490,40175275910.0
172,03/06/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","67.369 km
 ","R$ 73.197,00","R$ 51.373,00",R$ 52.490,16090736553.0
173,03/09/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.309 km
 ","R$ 70.575,00","R$ 45.163,00",R$ 52.490,3391456377.0
174,13/11/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","48.817 km
 ","R$ 68.615,00","R$ 46.352,00",R$ 52.490,93166250933.0
175,12/05/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","52.762 km
 ","R$ 68.026,00","R$ 48.442,00",R$ 52.490,48541298571.0
176,20/02/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","67.369 km
 ","R$ 71.596,00","R$ 49.509,00",R$ 52.490,16686959816.0
177,21/08/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.870 km
 ","R$ 69.373,00","R$ 63.265,00",R$ 52.990,87296045222.0
178,30/12/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,75.411 km ,"R$ 65.388,00","R$ 55.564,00",R$ 52.990,99961633950.0
179,08/02/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.230 km
 ","R$ 68.445,00","R$ 62.465,00",R$ 52.990,77239118566.0
180,13/07/2023,FIAT,MOBI LIKE 1.0,"2022/2023
","43.000 km
","R$ 69.555,00","R$ 45.652,00",R$ 52.990,72109905861.0
181,18/02/2023,FIAT,MOBI LIKE 1.0,"2022/2023
","52.762 km
","R$ 69.025,00","R$ 54.162,00",R$ 52.990,9918146444.0
182,15/09/2023,RENAULT,KWID ZEN 1.0,2021/2022,43.443 km,"R$ 73.044,00","R$ 63.848,00",R$ 52.990,39661361877.0
183,01/12/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.309 km
 ","R$ 67.296,00","R$ 58.035,00",R$ 52.990,82092573788.0
184,03/11/2023,FIAT,MOBI LIKE 1.0,"2022/2023
","61.073 km
","R$ 68.487,00","R$ 64.304,00",R$ 52.990,58647642459.0
185,11/01/2023,FIAT,MOBI LIKE 1.0,"2022/2023
","61.309 km
","R$ 66.057,00","R$ 53.916,00",R$ 52.990,82351098717.0
186,05/05/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.870 km
 ","R$ 67.269,00","R$ 64.271,00",R$ 52.990,34986816598.0
187,10/01/2023,FIAT,MOBI LIKE 1.0,"2022/2023
","60.230 km
","R$ 66.874,00","R$ 52.428,00",R$ 52.990,79898019068.0
188,31/03/2023,RENAULT,KWID ZEN 1.0,2021/2022 ,43.443 km ,"R$ 70.954,00","R$ 45.939,00",R$ 52.990,37130888516.0
189,16/12/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","60.230 km
 ","R$ 65.566,00","R$ 49.617,00",R$ 52.990,72093005576.0
190,02/08/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","43.000 km
 ","R$ 67.792,00","R$ 53.391,00",R$ 52.990,28760948468.0
191,25/10/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","43.000 km
 ","R$ 74.699,00","R$ 58.069,00",R$ 52.990,87704332800.0
192,20/11/2023,RENAULT,KWID ZEN 1.0,"2021/2022
 ","43.443 km
 ","R$ 72.783,00","R$ 60.616,00",R$ 52.990,89027045951.0
193,06/05/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.073 km
 ","R$ 68.009,00","R$ 56.600,00",R$ 52.990,38287582540.0
194,11/11/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.073 km
 ","R$ 71.513,00","R$ 64.855,00",R$ 52.990,64774922667.0
195,26/09/2023,FIAT,MOBI LIKE 1.0,2022/2023,75.411 km,"R$ 71.483,00","R$ 61.241,00",R$ 52.990,49653372568.0
196,11/04/2023,FIAT,MOBI LIKE 1.0,"2022/2023
 ","61.309 km
 ","R$ 67.547,00","R$ 59.959,00",R$ 52.990,42216865944.0
197,22/07/2023,RENAULT,KWID ZEN 1.0,"2021/2022
 ","43.443 km
 ","R$ 70.067,00","R$ 54.676,00",R$ 52.990,33577185246.0
198,11/05/2023,RENAULT,KWID ZEN 1.0,"2021/2022
 ","43.443 km
 ","R$ 68.800,00","R$ 57.160,00",R$ 52.990,8237785162.0
199,17/11/2023,FIAT,MOBI LIKE 1.0,"2022/2023
","60.870 km
","R$ 70.091,00","R$ 61.464,00",R$ 52.990,44102930766.0
200,29/03/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2021/2022
","73.549 km
","R$ 68.941,00","R$ 59.793,00",R$ 53.190,63108787574.0
201,19/10/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2021/2022
 ","73.549 km
 ","R$ 68.705,00","R$ 49.554,00",R$ 53.190,32415939601.0
202,01/11/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2021/2022
 ","73.549 km
 ","R$ 71.602,00","R$ 63.614,00",R$ 53.190,3955334031.0
203,25/06/2023,VOLKSWAGEN,GOL MPI 1.0 4P,2021/2022,73.549 km,"R$ 70.664,00","R$ 49.693,00",R$ 53.190,93407152433.0
204,23/12/2023,VOLKSWAGEN,GOL MPI 1.0 4P,2020/2021,70.504 km,"R$ 66.199,00","R$ 60.666,00",R$ 53.190,8669256920.0
205,08/06/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2021/2022
 ","73.549 km
 ","R$ 69.693,00","R$ 56.357,00",R$ 53.190,65980325010.0
206,04/12/2023,VOLKSWAGEN,GOL MPI 1.0 4P,2021/2022 ,73.549 km ,"R$ 67.812,00","R$ 59.160,00",R$ 53.190,9532000268.0
207,10/12/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2021/2022
 ","73.549 km
 ","R$ 68.198,00","R$ 54.653,00",R$ 53.190,58221526147.0
208,08/04/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","70.504 km
 ","R$ 71.839,00","R$ 49.772,00",R$ 53.190,94334852845.0
209,12/04/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","70.504 km
 ","R$ 70.081,00","R$ 52.737,00",R$ 53.190,66379305463.0
210,05/12/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
","70.504 km
","R$ 73.616,00","R$ 49.551,00",R$ 53.190,72590551425.0
211,07/10/2023,VOLKSWAGEN,GOL MPI 1.0 4P,2020/2021 ,70.504 km ,"R$ 71.804,00","R$ 48.173,00",R$ 53.190,43200946039.0
212,24/09/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","70.504 km
 ","R$ 65.711,00","R$ 58.667,00",R$ 53.190,91006120256.0
213,15/04/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","70.504 km
 ","R$ 69.785,00","R$ 60.381,00",R$ 53.190,10321438238.0
214,17/12/2023,FIAT,MOBI LIKE 1.0,2021/2022 ,56.354 km ,"R$ 72.704,00","R$ 46.222,00",R$ 53.290,4739078468.0
215,14/04/2023,FIAT,MOBI LIKE 1.0,"2021/2022
 ","56.354 km
 ","R$ 74.363,00","R$ 55.785,00",R$ 53.290,91975609555.0
216,19/12/2023,FIAT,MOBI LIKE 1.0,"2021/2022
 ","56.354 km
 ","R$ 68.339,00","R$ 51.665,00",R$ 53.290,68630212882.0
217,24/11/2023,FIAT,MOBI LIKE 1.0,"2021/2022
 ","56.354 km
 ","R$ 71.095,00","R$ 50.840,00",R$ 53.290,2601155641.0
218,04/04/2023,FIAT,MOBI LIKE 1.0,2021/2022,56.354 km,"R$ 69.151,00","R$ 62.278,00",R$ 53.290,95182786019.0
219,22/01/2023,FIAT,MOBI LIKE 1.0,"2021/2022
","56.354 km
","R$ 69.390,00","R$ 58.758,00",R$ 53.290,83605043114.0
220,01/08/2023,FIAT,MOBI LIKE 1.0,"2021/2022
 ","56.354 km
 ","R$ 74.625,00","R$ 49.767,00",R$ 53.290,17947109519.0
221,26/10/2023,FIAT,MOBI LIKE 1.0 4P,"2021/2021
 ","33.712 km
 ","R$ 68.158,00","R$ 45.353,00",R$ 53.590,42292555524.0
222,06/06/2023,FIAT,MOBI LIKE 1.0 4P,"2021/2021
 ","33.712 km
 ","R$ 65.807,00","R$ 55.488,00",R$ 53.590,10304686959.0
223,06/09/2023,FIAT,MOBI LIKE 1.0 4P,"2021/2021
","33.712 km
","R$ 69.998,00","R$ 64.888,00",R$ 53.590,40857931167.0
224,13/09/2023,FIAT,MOBI LIKE 1.0 4P,2021/2021,33.712 km,"R$ 71.054,00","R$ 63.072,00",R$ 53.590,20077340031.0
225,27/02/2023,FIAT,MOBI LIKE 1.0 4P,"2021/2021
 ","33.712 km
 ","R$ 65.740,00","R$ 64.180,00",R$ 53.590,56861681444.0
226,18/06/2023,FIAT,MOBI LIKE 1.0 4P,2021/2021 ,33.712 km ,"R$ 66.041,00","R$ 64.114,00",R$ 53.590,20043266553.0
227,13/10/2023,FIAT,MOBI LIKE 1.0 4P,"2021/2021
 ","33.712 km
 ","R$ 72.180,00","R$ 63.766,00",R$ 53.590,98406135461.0
228,27/09/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020,21.868 km,"R$ 69.125,00","R$ 56.552,00",R$ 53.790,17097050804.0
229,28/10/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
","21.868 km
","R$ 66.110,00","R$ 45.497,00",R$ 53.790,27193597298.0
230,28/06/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","21.868 km
 ","R$ 65.996,00","R$ 56.764,00",R$ 53.790,2331663289.0
231,05/05/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","21.868 km
 ","R$ 73.667,00","R$ 57.511,00",R$ 53.790,30636038015.0
232,12/02/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","21.868 km
 ","R$ 74.863,00","R$ 53.952,00",R$ 53.790,31772833704.0
233,14/07/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,2020/2020 ,21.868 km ,"R$ 74.488,00","R$ 50.463,00",R$ 53.790,16426477703.0
234,28/03/2023,FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
 ","21.868 km
 ","R$ 73.406,00","R$ 56.904,00",R$ 53.790,92384654470.0
235,20/07/2023,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2020/2021
 ","88.690 km
 ","R$ 71.967,00","R$ 58.534,00",R$ 54.190,11253616549.0
236,13/11/2023,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2020/2021
 ","88.690 km
 ","R$ 68.175,00","R$ 47.516,00",R$ 54.190,13195780477.0
237,10/07/2023,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2020/2021
","88.690 km
","R$ 72.889,00","R$ 59.177,00",R$ 54.190,64133410446.0
238,02/02/2023,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2020/2021
 ","88.690 km
 ","R$ 71.232,00","R$ 48.178,00",R$ 54.190,19166415945.0
239,03/05/2023,VOLKSWAGEN,GOL MPI MT 1.6 4P,2020/2021 ,88.690 km ,"R$ 73.988,00","R$ 55.364,00",R$ 54.190,90462087589.0
240,24/09/2023,VOLKSWAGEN,GOL MPI MT 1.6 4P,"2020/2021
 ","88.690 km
 ","R$ 71.014,00","R$ 51.895,00",R$ 54.190,34315316620.0
241,23/09/2023,VOLKSWAGEN,GOL MPI MT 1.6 4P,2020/2021,88.690 km,"R$ 74.724,00","R$ 64.582,00",R$ 54.190,12380677889.0
242,18/08/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","60.925 km
 ","R$ 73.826,00","R$ 57.883,00",R$ 54.290,27795220191.0
243,27/05/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,60.230 km ,"R$ 67.627,00","R$ 45.235,00",R$ 54.290,40358790082.0
244,29/11/2023,FIAT,MOBI LIKE 1.0 4P,2022/2023,60.925 km,"R$ 67.168,00","R$ 57.930,00",R$ 54.290,97222626774.0
245,23/03/2023,FIAT,MOBI LIKE 1.0,2022/2023,60.230 km,"R$ 70.568,00","R$ 63.645,00",R$ 54.290,30499757813.0
246,30/08/2023,FIAT,MOBI LIKE 1.0,2022/2023,61.073 km,"R$ 66.921,00","R$ 59.466,00",R$ 54.290,92044079172.0
247,28/12/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,60.870 km ,"R$ 69.096,00","R$ 46.490,00",R$ 54.290,3135387156.0
248,10/07/2023,FIAT,MOBI LIKE 1.0,2022/2023,61.309 km,"R$ 68.404,00","R$ 61.220,00",R$ 54.290,18231674146.0
249,28/05/2023,FIAT,MOBI LIKE 1.0,2022/2023,60.870 km,"R$ 68.069,00","R$ 63.946,00",R$ 54.290,37444597001.0
250,02/01/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,61.073 km ,"R$ 70.699,00","R$ 56.854,00",R$ 54.290,74585544993.0
251,26/06/2023,FIAT,MOBI LIKE 1.0 4P,2022/2023 ,60.925 km ,"R$ 68.287,00","R$ 45.133,00",R$ 54.290,87518236416.0
252,30/04/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,61.309 km ,"R$ 69.022,00","R$ 48.921,00",R$ 54.290,93712986642.0
253,12/06/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,61.547 km ,"R$ 66.987,00","R$ 55.819,00",R$ 54.290,2977126428.0
254,27/10/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","60.925 km
 ","R$ 69.126,00","R$ 63.392,00",R$ 54.290,17737734631.0
255,23/12/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
","60.925 km
","R$ 70.908,00","R$ 57.307,00",R$ 54.290,29304139655.0
256,28/08/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","60.925 km
 ","R$ 70.147,00","R$ 52.764,00",R$ 54.290,5548248702.0
257,05/08/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","60.925 km
 ","R$ 67.756,00","R$ 63.747,00",R$ 54.290,40994942905.0
258,29/10/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2022
 ","56.781 km
 ","R$ 66.447,00","R$ 45.865,00",R$ 54.390,20307076481.0
259,16/06/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,58.120 km ,"R$ 74.062,00","R$ 51.222,00",R$ 54.390,74825807617.0
260,25/05/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2022
 ","56.781 km
 ","R$ 66.712,00","R$ 56.550,00",R$ 54.390,66919864606.0
261,13/12/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2022
 ","56.781 km
 ","R$ 73.588,00","R$ 63.281,00",R$ 54.390,61493887839.0
262,22/08/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2022
 ","56.781 km
 ","R$ 74.234,00","R$ 64.539,00",R$ 54.390,63143071975.0
263,15/11/2023,FIAT,MOBI LIKE 1.0 4P,2022/2022,56.781 km,"R$ 74.818,00","R$ 62.935,00",R$ 54.390,32766269117.0
264,13/04/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2022
","56.781 km
","R$ 72.138,00","R$ 59.128,00",R$ 54.390,95072317525.0
265,29/05/2023,FIAT,MOBI LIKE 1.0 4P,2022/2022 ,56.781 km ,"R$ 74.904,00","R$ 59.348,00",R$ 54.390,52629264029.0
266,22/06/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","51.241 km
 ","R$ 67.354,00","R$ 46.148,00",R$ 54.690,94203487101.0
267,07/06/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","51.241 km
 ","R$ 65.205,00","R$ 49.340,00",R$ 54.690,31602729447.0
268,09/01/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,54.533 km ,"R$ 68.291,00","R$ 53.830,00",R$ 54.690,26667605830.0
269,05/11/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","51.241 km
 ","R$ 72.236,00","R$ 48.816,00",R$ 54.690,54547603584.0
270,07/01/2023,VOLKSWAGEN,GOL MPI 1.0 4P,2020/2021 ,51.241 km ,"R$ 66.060,00","R$ 51.964,00",R$ 54.690,71795235313.0
271,28/01/2023,VOLKSWAGEN,GOL MPI 1.0 4P,2020/2021,51.241 km,"R$ 73.745,00","R$ 55.745,00",R$ 54.690,70628665024.0
272,17/11/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
 ","51.241 km
 ","R$ 67.354,00","R$ 48.277,00",R$ 54.690,32995689086.0
273,02/04/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2020/2021
","51.241 km
","R$ 71.796,00","R$ 50.355,00",R$ 54.690,67269655664.0
274,08/06/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,52.048 km ,"R$ 69.133,00","R$ 61.707,00",R$ 54.790,50981630345.0
275,24/06/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","62.593 km
 ","R$ 71.328,00","R$ 61.440,00",R$ 54.790,71541836398.0
276,18/03/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,52.410 km ,"R$ 69.892,00","R$ 52.967,00",R$ 54.790,76701787850.0
277,29/01/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,52.343 km ,"R$ 71.213,00","R$ 50.876,00",R$ 54.790,74465908666.0
278,14/05/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
","62.593 km
","R$ 72.509,00","R$ 62.519,00",R$ 54.790,12005386288.0
279,24/01/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","62.593 km
 ","R$ 73.308,00","R$ 49.713,00",R$ 54.790,48906861889.0
280,23/03/2023,FIAT,MOBI LIKE 1.0,2022/2023,52.762 km,"R$ 74.361,00","R$ 53.472,00",R$ 54.790,33946951778.0
281,11/09/2023,FIAT,MOBI LIKE 1.0 4P,2022/2023 ,62.593 km ,"R$ 66.076,00","R$ 59.801,00",R$ 54.790,47515110218.0
282,28/02/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,52.762 km ,"R$ 70.328,00","R$ 54.829,00",R$ 54.790,90666741018.0
283,31/01/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","62.593 km
 ","R$ 71.834,00","R$ 54.943,00",R$ 54.790,97816681086.0
284,15/07/2023,FIAT,MOBI LIKE 1.0 4P,2022/2023,62.593 km,"R$ 67.374,00","R$ 58.690,00",R$ 54.790,14567430325.0
285,25/09/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","62.593 km
 ","R$ 73.044,00","R$ 49.282,00",R$ 54.790,21065239261.0
286,06/04/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,51.621 km ,"R$ 71.576,00","R$ 47.758,00",R$ 54.890,14402303776.0
287,16/10/2023,FIAT,MOBI LIKE 1.0,2022/2023 ,43.000 km ,"R$ 68.914,00","R$ 46.145,00",R$ 55.390,29607366086.0
288,19/10/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2019/2020
","20.283 km
","R$ 71.045,00","R$ 61.724,00",R$ 55.390,74355796744.0
289,29/12/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2019/2020
 ","20.283 km
 ","R$ 71.143,00","R$ 47.660,00",R$ 55.390,78357473651.0
290,25/09/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2019/2020
 ","20.283 km
 ","R$ 68.188,00","R$ 49.985,00",R$ 55.390,40773739136.0
291,12/06/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2019/2020
 ","20.283 km
 ","R$ 67.667,00","R$ 53.052,00",R$ 55.390,35083062023.0
292,07/02/2023,FIAT,MOBI LIKE 1.0,2022/2023,43.000 km,"R$ 67.469,00","R$ 48.926,00",R$ 55.390,9220213503.0
293,24/04/2023,VOLKSWAGEN,GOL MPI 1.0 4P,2019/2020 ,20.283 km ,"R$ 66.040,00","R$ 61.770,00",R$ 55.390,83852322817.0
294,05/07/2023,VOLKSWAGEN,GOL MPI 1.0 4P,2019/2020,20.283 km,"R$ 66.877,00","R$ 48.622,00",R$ 55.390,64154362369.0
295,05/12/2023,VOLKSWAGEN,GOL MPI 1.0 4P,"2019/2020
 ","20.283 km
 ","R$ 72.173,00","R$ 64.557,00",R$ 55.390,44778964090.0
296,16/12/2023,FIAT,MOBI LIKE 1.0 4P,2022/2023,55.178 km,"R$ 68.703,00","R$ 60.532,00",R$ 55.790,80818124040.0
297,29/03/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","55.178 km
 ","R$ 72.942,00","R$ 56.510,00",R$ 55.790,28462814534.0
298,11/02/2023,FIAT,MOBI LIKE 1.0 4P,2022/2023 ,55.178 km ,"R$ 71.507,00","R$ 52.752,00",R$ 55.790,63605282675.0
299,22/05/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","55.178 km
 ","R$ 70.604,00","R$ 59.491,00",R$ 55.790,67973190282.0
300,14/02/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","55.178 km
 ","R$ 65.120,00","R$ 51.122,00",R$ 55.790,87162735828.0
301,22/04/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
","55.178 km
","R$ 69.144,00","R$ 60.205,00",R$ 55.790,59648143280.0
302,11/01/2023,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","55.178 km
 ","R$ 72.161,00","R$ 57.330,00",R$ 55.790,79088073173.0
303,18/02/2023,FIAT,ARGO DRIVE 1.0 4P,"2020/2020
 ","66.288 km
 ","R$ 68.776,00","R$ 48.632,00",R$ 55.900,27495606177.0
304,27/01/2023,FIAT,ARGO DRIVE 1.0 4P,2020/2020 ,66.288 km ,"R$ 68.220,00","R$ 54.198,00",R$ 55.900,98906427691.0
305,06/11/2023,FIAT,ARGO DRIVE 1.0 4P,"2020/2020
","66.288 km
","R$ 72.216,00","R$ 60.443,00",R$ 55.900,15811348625.0
306,07/10/2023,FIAT,ARGO DRIVE 1.0 4P,"2020/2020
 ","66.288 km
 ","R$ 66.893,00","R$ 58.457,00",R$ 55.900,19778653128.0
307,07/07/2023,FIAT,ARGO DRIVE 1.0 4P,2020/2020,66.288 km,"R$ 68.665,00","R$ 55.028,00",R$ 55.900,93661593480.0
308,29/09/2023,FIAT,ARGO DRIVE 1.0 4P,"2020/2020
 ","66.288 km
 ","R$ 74.485,00","R$ 45.610,00",R$ 55.900,74703900526.0
309,02/11/2023,FIAT,ARGO DRIVE 1.0 4P,"2020/2020
 ","66.288 km
 ","R$ 73.352,00","R$ 54.393,00",R$ 55.900,73659553984.0
310,05/01/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","52.297 km
 ","R$ 74.527,00","R$ 45.614,00",R$ 56.990,19178160843.0
311,21/01/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","52.297 km
 ","R$ 70.754,00","R$ 56.796,00",R$ 56.990,4308329502.0
312,04/11/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","62.495 km
 ","R$ 68.582,00","R$ 61.089,00",R$ 56.990,15702242895.0
313,02/11/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","49.899 km
 ","R$ 70.221,00","R$ 50.202,00",R$ 56.990,95203952747.0
314,30/12/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
","62.495 km
","R$ 72.567,00","R$ 64.945,00",R$ 56.990,29206736650.0
315,12/02/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
","52.297 km
","R$ 66.404,00","R$ 47.461,00",R$ 56.990,33653402248.0
316,19/07/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","62.495 km
 ","R$ 66.069,00","R$ 47.921,00",R$ 56.990,26442479819.0
317,16/10/2023,VOLKSWAGEN,GOL 1.0,2022/2023 ,49.899 km ,"R$ 70.665,00","R$ 63.491,00",R$ 56.990,55539423173.0
318,18/03/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","49.899 km
 ","R$ 67.170,00","R$ 60.681,00",R$ 56.990,94947160436.0
319,12/10/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
","49.899 km
","R$ 74.206,00","R$ 58.905,00",R$ 56.990,3336563665.0
320,06/12/2023,VOLKSWAGEN,GOL 1.0,2022/2023 ,62.495 km ,"R$ 72.939,00","R$ 60.331,00",R$ 56.990,2837734671.0
321,03/09/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","52.297 km
 ","R$ 69.618,00","R$ 58.838,00",R$ 56.990,27952412408.0
322,20/02/2023,VOLKSWAGEN,GOL 1.0,"2022/2023
 ","52.297 km
 ","R$ 74.216,00","R$ 53.538,00",R$ 56.990,51048113295.0
